experiment,run,seed,3d_hd95_class1,3d_hd95_class2,3d_hd95_class3,3d_hd95_class4,3d_hd95_class5,3d_dice_class1,3d_dice_class2,3d_dice_class3,3d_dice_class4,3d_dice_class5,3d_hd_class1,3d_hd_class2,3d_hd_class3,3d_hd_class4,3d_hd_class5,3d_assd_class1,3d_assd_class2,3d_assd_class3,3d_assd_class4,3d_assd_class5,3d_nsd_class1,3d_nsd_class2,3d_nsd_class3,3d_nsd_class4,3d_nsd_class5,3d_jaccard_class1,3d_jaccard_class2,3d_jaccard_class3,3d_jaccard_class4,3d_jaccard_class5
preprocessed_window_experiment_20251006_231123,preprocessed_window_experiment_20251006_231123_seed1,1.0,0.9765625,6.742133140563965,4.225685119628906,7.239991664886475,4.689185619354248,0.999270498752594,0.6871182918548584,0.9425475001335144,0.8840535879135132,0.890832781791687,111.26695251464844,16.879247665405273,10.641786575317383,147.28094482421875,25.703771591186523,0.13055723905563354,1.8594746589660645,1.4306215047836304,2.1876180171966553,1.2700519561767578,0.9655091762542725,0.5376490354537964,0.551762580871582,0.7920923233032227,0.6887629628181458,0.9985420107841492,0.5233665108680725,0.8913379311561584,0.7922008037567139,0.8031546473503113
preprocessed_window_experiment_20251006_231123,preprocessed_window_experiment_20251006_231123_seed2,2.0,0.9765625,7.677974700927734,12.854330062866211,8.885032653808594,17.230478286743164,0.998956561088562,0.6692979335784912,0.885230541229248,0.8208972215652466,0.8312541842460632,23.554744720458984,17.07664680480957,18.0,244.65272521972656,41.0125846862793,0.21944110095500946,2.1327264308929443,3.3716354370117188,3.437751054763794,3.635589122772217,0.9570662379264832,0.5003839135169983,0.4167957007884979,0.6870647668838501,0.609553873538971,0.9979152679443359,0.502966046333313,0.7940928936004639,0.6962050199508667,0.7112360596656799
preprocessed_window_experiment_20251006_231123,preprocessed_window_experiment_20251006_231123_seed3,3.0,0.9765625,8.722582817077637,5.456381797790527,4.242402076721191,6.269619464874268,0.9991828203201294,0.5902426838874817,0.931773841381073,0.8355653285980225,0.8863955140113831,21.193767547607422,91.55198669433594,9.302942276000977,24.5022029876709,28.215343475341797,0.14084385335445404,2.643073320388794,1.7225273847579956,1.3403809070587158,1.5279680490493774,0.9605657458305359,0.45669975876808167,0.4534814655780792,0.6615229845046997,0.6723697781562805,0.9983670115470886,0.41868388652801514,0.8722627758979797,0.7175716757774353,0.7959697246551514
preprocessed_window_gamma_blended_laplacian_clahe_experiment_20251007_000911,preprocessed_window_gamma_blended_laplacian_clahe_experiment_20251007_000911_seed1,1.0,0.9765625,7.602341651916504,6.0,6.547262191772461,12.718803405761719,0.999220609664917,0.7171051502227783,0.9330165982246399,0.8319669961929321,0.8746525645256042,21.417688369750977,90.85203552246094,9.372398376464844,21.417688369750977,36.35316848754883,0.1348806470632553,3.346914768218994,1.7017005681991577,1.459590196609497,2.0845725536346436,0.9641425013542175,0.5529014468193054,0.5035046935081482,0.6905718445777893,0.6949642896652222,0.9984424114227295,0.5589742064476013,0.8744434714317322,0.7122803926467896,0.7772289514541626
preprocessed_window_gamma_blended_laplacian_clahe_experiment_20251007_000911,preprocessed_window_gamma_blended_laplacian_clahe_experiment_20251007_000911_seed2,2.0,0.9765625,5.608367919921875,10.902754783630371,6.89841365814209,13.735966682434082,0.9990817308425903,0.7208571434020996,0.8980616331100464,0.8232054710388184,0.8635501265525818,22.0,16.835277557373047,22.724985122680664,243.94552612304688,50.02421569824219,0.16683641076087952,1.7244157791137695,2.7546308040618896,2.0374062061309814,2.500087022781372,0.9622172713279724,0.5363926291465759,0.48916348814964294,0.6823674440383911,0.6548383831977844,0.9981651306152344,0.5635470151901245,0.814983606338501,0.6995320320129395,0.75986647605896
preprocessed_window_gamma_blended_laplacian_clahe_experiment_20251007_000911,preprocessed_window_gamma_blended_laplacian_clahe_experiment_20251007_000911_seed3,3.0,0.9765625,6.701727867126465,4.300333499908447,4.66726541519165,9.213812828063965,0.999216616153717,0.7040391564369202,0.9372624754905701,0.8291675448417664,0.8769816756248474,16.543872833251953,90.5576400756836,16.543872833251953,14.124561309814453,33.20591354370117,0.13227298855781555,2.1673078536987305,1.6195908784866333,1.2873740196228027,1.8330425024032593,0.9620084762573242,0.5173723101615906,0.5043436884880066,0.6573470830917358,0.6586576700210571,0.9984344840049744,0.5432564616203308,0.8819321990013123,0.7081863880157471,0.780914843082428
preprocessed_window_gamma_clahe_experiment_20251006_233830,preprocessed_window_gamma_clahe_experiment_20251006_233830_seed1,1.0,0.9765625,38.9571418762207,6.0,4.680359840393066,11.208601951599121,0.9991646409034729,0.6497213840484619,0.9326847791671753,0.8186177611351013,0.8709408044815063,14.0,92.86612701416016,9.898930549621582,80.0,33.32059860229492,0.14399023354053497,5.220746994018555,1.7504651546478271,1.3623178005218506,2.019353151321411,0.9618422389030457,0.48290663957595825,0.4932960569858551,0.6398218274116516,0.691938579082489,0.9983305931091309,0.48117581009864807,0.8738606572151184,0.6929321885108948,0.7713863253593445
preprocessed_window_gamma_clahe_experiment_20251006_233830,preprocessed_window_gamma_clahe_experiment_20251006_233830_seed2,2.0,0.9765625,7.57948112487793,11.925321578979492,8.777894973754883,14.652432441711426,0.9989780187606812,0.6547613143920898,0.8934065103530884,0.8304941654205322,0.831294596195221,22.37999725341797,23.93628692626953,18.026472091674805,90.0095443725586,36.02519989013672,0.19036662578582764,2.1382646560668945,2.9029860496520996,2.5094642639160156,2.894888401031494,0.9583873152732849,0.4797135293483734,0.4312722086906433,0.6914957165718079,0.6068238615989685,0.9979580640792847,0.48672500252723694,0.807348370552063,0.7101240158081055,0.7112952470779419
preprocessed_window_gamma_clahe_experiment_20251006_233830,preprocessed_window_gamma_clahe_experiment_20251006_233830_seed3,3.0,0.9765625,6.7414093017578125,6.0,9.498210906982422,13.823358535766602,0.9991167187690735,0.6967902779579163,0.9162876009941101,0.8598093390464783,0.8551983833312988,34.0,14.778072357177734,16.0,234.3438262939453,34.58457565307617,0.16153821349143982,1.8257943391799927,2.2480554580688477,3.06312894821167,2.411076784133911,0.9620020985603333,0.555705726146698,0.46607598662376404,0.7217844724655151,0.6632617115974426,0.9982349872589111,0.5346724390983582,0.8455080986022949,0.7540925741195679,0.747027575969696
preprocessed_window_gamma_experiment_20251006_224645,preprocessed_window_gamma_experiment_20251006_224645_seed1,1.0,0.9765625,42.56510543823242,4.337358474731445,5.15494441986084,6.826715469360352,0.9991726875305176,0.6430806517601013,0.9342968463897705,0.828952968120575,0.8758467435836792,18.02749252319336,91.24689483642578,8.234968185424805,16.421030044555664,24.4140625,0.14006012678146362,4.436824321746826,1.6628001928329468,1.3001708984375,1.5267586708068848,0.9609334468841553,0.46307575702667236,0.46614035964012146,0.6642472743988037,0.6872814893722534,0.998346745967865,0.47392693161964417,0.8766951560974121,0.7078732848167419,0.7791168689727783
preprocessed_window_gamma_experiment_20251006_224645,preprocessed_window_gamma_experiment_20251006_224645_seed2,2.0,0.9765625,7.789299011230469,7.5797624588012695,6.842900276184082,13.624292373657227,0.9990234375,0.6308704614639282,0.9116641283035278,0.7872967720031738,0.8194343447685242,18.0,16.160783767700195,16.0,86.61592864990234,35.04415512084961,0.17265094816684723,2.168705463409424,2.2981748580932617,1.8116250038146973,2.685173749923706,0.9563831686973572,0.4899619519710541,0.4017857015132904,0.6394242644309998,0.5841115713119507,0.9980488419532776,0.46078214049339294,0.8376680016517639,0.649208128452301,0.6941031217575073
preprocessed_window_gamma_experiment_20251006_224645,preprocessed_window_gamma_experiment_20251006_224645_seed3,3.0,0.9765625,8.39453125,4.024707794189453,7.44140625,5.254613876342773,0.9991571307182312,0.6169658899307251,0.9389505982398987,0.7535688877105713,0.867429256439209,15.77011489868164,83.8077163696289,7.735752105712891,21.875375747680664,13.713465690612793,0.14273576438426971,2.7266299724578857,1.5012612342834473,1.978633165359497,1.364087462425232,0.9574064016342163,0.46162861585617065,0.47785162925720215,0.5152553915977478,0.6343393325805664,0.998315691947937,0.44609591364860535,0.8849263191223145,0.6045812368392944,0.7658941149711609
